cid,company_name,state,source_filing
C003474,Seattle City Light,WA,CSV_2025_Q1_5915967_1618402.ZIP
C003680,Public Utility District No 1 of Chelan County,WA,CSV_2025_Q1_6444414_1718967.ZIP
C000736,"Plum Point Energy Associates, LLC",WA,CSV_2025_Q1_6018414_1630350.ZIP
C007726,"St. Joseph Energy Center, LLC",WA,CSV_2025_Q1_5896820_1612769.ZIP
C002021,"Longview Fibre Paper and Packaging, Inc.",WA,CSV_2025_Q1_5992333_1625284.ZIP
C001569,"Panoche Energy Center, LLC",WA,CSV_2025_Q1_5997842_1628120.ZIP
C004848,Amazon Energy LLC,WA,CSV_2025_Q1_6443093_1718114.ZIP
C012043,"Kaiser Aluminum Washington, LLC",WA,CSV_2025_Q1_5948304_1621339.ZIP
C003677,Public Utility District No. 2 of Grant County,WA,CSV_2025_Q1_5989639_1624569.ZIP
C011903,"Omnis Pleasants, LLC",WA,CSV_2025_Q1_6440111_1713311.ZIP
C005050,3 Phases Renewables Inc.,WA,CSV_2025_Q1_6018365_1630027.ZIP
C002563,"Lockport Energy Associates, L.P.",WA,CSV_2025_Q1_6018425_1630372.ZIP
C005390,Nippon Dynawave Packaging Co.,WA,CSV_2025_Q1_5898175_1613441.ZIP
C002241,"Windy Flats Partners, LLC",WA,CSV_2025_Q1_5989496_1624542.ZIP
C005130,"Smith Creek Hydro, LLC",WA,CSV_2025_Q1_6267680_1678684.ZIP
C003215,HF Sinclair El Dorado Refining LLC,WA,CSV_2025_Q1_5895330_1610417.ZIP
C000171,"Puget Sound Energy, Inc.",WA,CSV_2025_Q1_6076115_1649014.ZIP
C010562,"3PR Trading, Inc.",WA,CSV_2025_Q1_6019098_1630785.ZIP
C000379,Avista Corporation,WA,CSV_2025_Q1_6084091_1649467.ZIP
C001568,"Kleen Energy Systems, LLC",WA,CSV_2025_Q1_6019334_1631114.ZIP
C010816,Hill Top Energy Center LLC,WA,CSV_2025_Q1_5896465_1612170.ZIP
C011069,HF Sinclair Puget Sound Refining LLC,WA,CSV_2025_Q1_5998363_1628888.ZIP
C005347,"Oregon Clean Energy, LLC",WA,CSV_2025_Q1_6017915_1629682.ZIP
C010865,Microsoft Energy LLC,WA,CSV_2025_Q1_5914472_1618151.ZIP
C004534,"Newark Energy Center, LLC",WA,CSV_2025_Q1_5896748_1612474.ZIP
C002617,"White Creek Wind I, LLC",WA,CSV_2025_Q1_5942075_1620709.ZIP
C004535,"Hartree-Meadowlands Newark, LLC",WA,CSV_2025_Q1_5894172_1609695.ZIP
C003936,Fortistar North Tonawanda LLC,WA,CSV_2025_Q1_6019343_1631237.ZIP
C000396,"Castleton Power, LLC",WA,CSV_2025_Q1_6018404_1630345.ZIP
C010096,Birdsboro Power LLC,WA,CSV_2025_Q1_5896287_1612149.ZIP
C005237,"Potomac Energy Center, LLC",WA,CSV_2025_Q1_6017919_1629685.ZIP
C000733,"Plum Point Services Company, LLC",WA,CSV_2025_Q1_5894160_1609603.ZIP
